"Fecha Retiro","Iniciativa","Cod. Serial","Vintage Inicial","Vintage Final","Año absorción","Cod. Seriales Entregados","Destinación","Usuario Final","Nit Usuario Final","Sujeto Pasivo","Nit Sujeto Pasivo","TCO2e Entregadas"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-61770-63137","Impuesto al Carbono","LOGISTICA Y  OPERACIONES DE  COMBUSTIBLES SAS -  EDS TERPEL LA RAYA","900612539-9","ORGANIZACIÓN TERPEL SA","830095213-0 ","1368"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-60646-61769","Impuesto al Carbono"," ROJAS & JORDAN SAS -  EDS TERPEL TERMINAL  DE CARGA","901310208-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","1124"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-59150-60645","Impuesto al Carbono","ROBENHEIM Y CIA SAS - EDS AUTOMOTRIZ GUADUALES","900164098-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","1496"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-58056-59149","Impuesto al Carbono","MMEJIA S.A.S. - EDS LA ACUARELA","901619445-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","1094"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-57139-58055","Impuesto al Carbono","GOMEZ KURATOMI SAS  - EDS TERPEL IMPERIAL","900985703-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","917"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-56727-57138","Impuesto al Carbono","SOCIEDAD  DISTRIBUIDORA DE  COMBUSTIBLE LA CRUZ  DE MAYO SAS - EDS ","901346011-5","ORGANIZACIÓN TERPEL SA","830095213-0 ","412"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-56226-56726","Impuesto al Carbono","VELASCONGAS SAS -  EDS TERPEL CENTRO  BOGOTA","901619577-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","501"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-53861-56225","Impuesto al Carbono","SERVICES BELICE SAS -  EDS TERPEL EL  GANADERO","901109366-9","ORGANIZACIÓN TERPEL SA","830095213-0 ","2365"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-53441-53860","Impuesto al Carbono","ESTACION DEL NORTE  SAS - EDS TERPEL  AEROPUERTO  MONTERIA","900747987-5","ORGANIZACIÓN TERPEL SA","830095213-0 ","420"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-52593-53440","Impuesto al Carbono","EVIMERIA PM S.A.S -  EDS TERPEL AMIRA DE  LA ROSA","901495028-8","ORGANIZACIÓN TERPEL SA","830095213-0 ","848"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-51510-52592","Impuesto al Carbono","SANZ TORO SAS - EDS  TERPEL LA ALQUERIA","901333302-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","1083"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-49950-51509","Impuesto al Carbono","SANCHEZ Y LOZANO  SAS - EDS TERPEL EL  RETORNO","901129051-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","1560"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-48486-49949","Impuesto al Carbono","PASION INNOVACION  EXPERIENCIA  AUTOMOTRIZ SAS -  EDS TERPEL CRUZ ROJA","900958772-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","1464"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-46253-48485","Impuesto al Carbono","BONCA SAS - EDS  TERPEL PALERMO","901188220-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","2233"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-42846-46252","Impuesto al Carbono","LAUDAN OPERADORES  SAS - EDS AUTOPISTA  NORTE","901354533-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","3407"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-40739-42845","Impuesto al Carbono","CUELLAR,  ARCINIEGAS,REPRESEN TACIONES Y SERVICIOS  S.A.S. - EDS TERPEL","900666450-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","2107"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-39046-40738","Impuesto al Carbono","ESTACIÓN DE SERVICIO  JAP SAS - EDS TERPEL  LA FLORIDA COTA","900652115-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","1693"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-38511-39045","Impuesto al Carbono","GENTILE SERVICES SAS -  EDS TERPEL LA UNIÓN","901309880-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","535"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-37344-38510","Impuesto al Carbono","INVERSIONES ESCOBAR  VELEZ Y CIA SAS - EDS  TERPEL MARBELLA","900542182-2","ORGANIZACIÓN TERPEL SA","830095213-0 ","1167"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-35962-37343","Impuesto al Carbono","LUBYCOM SAS - EDS  PASOANCHO","901028664-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","1382"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-34956-35961","Impuesto al Carbono","EDS CARIBEMAR SAS -  EDS TERPEL-EL TIGRE","901619643-2","ORGANIZACIÓN TERPEL SA","830095213-0 ","1006"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-34098-34955","Impuesto al Carbono","AGUILAR GOMEZ  OCHOA SAS - EDS CHIA","900807035-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","858"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-33534-34097","Impuesto al Carbono","DSITRIBUIDORA DE  COMBUSTIBLES SANTA  CECILIA SAS - EDS  TERPEL EL CORTIJO","901033646-8","ORGANIZACIÓN TERPEL SA","830095213-0 ","564"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-31594-33533","Impuesto al Carbono","H&R ENERGY SAS - EDS  TERPEL DUITAMA","901046216-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","1940"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-30813-31593","Impuesto al Carbono","COMERCIALIZADORA  HERCORJAR SAS - EDS  TERPEL AMERICAS ","900647877-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","781"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-29378-30812","Impuesto al Carbono","ECOFULL COLOMBIA  SAS - EDS EL  TRIANGULO","900734797-6","ORGANIZACIÓN TERPEL SA","830095213-0 ","1435"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-27744-29377","Impuesto al Carbono","COMBUSTIBLES DE LOS  ANDES S.A.S - EDS  MARIANA","901622730-6","ORGANIZACIÓN TERPEL SA","830095213-0 ","1634"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-26632-27743","Impuesto al Carbono","INVERSIONES FESALAU  SAS - EDS TERPEL  FERROCARRIL","901618072-2","ORGANIZACIÓN TERPEL SA","830095213-0 ","1112"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-26012-26631","Impuesto al Carbono","ESTACION DE  SERVICIOS INVERMAX  PETROLEOS S.A.S. - EDS  TERPEL PUERTA DE","901193174-9","ORGANIZACIÓN TERPEL SA","830095213-0 ","620"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-24382-26011","Impuesto al Carbono","INVERSIONES KEYAH  SAS - EDS SABANETA","901270622-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","1630"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-22708-24381","Impuesto al Carbono","COMERCIALIZADORA  DE COMBUSTIBLES 3G  SAS - EDS TERPEL EL  ENCIERRO","901321778-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","1674"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-21396-22707","Impuesto al Carbono","INVERSIONES SOL SAS -  EDS TERPEL  ASTILLEROS","901189703-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","1312"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-20518-21395","Impuesto al Carbono","CAISO SAS - EDS  TERPEL SAN AGUSTIN","901187386-9","ORGANIZACIÓN TERPEL SA","830095213-0 ","878"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-19698-20517","Impuesto al Carbono","INVERSIONES NAVA  SAS - EDS SAN JUAN","900640966-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","820"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-18998-19697","Impuesto al Carbono","VIABEL GROUP SAS -  EDS TERPEL  CAÑAVERAL","901619852-5","ORGANIZACIÓN TERPEL SA","830095213-0 ","700"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-16905-18997","Impuesto al Carbono","COLVIBRA SAS - EDS  TERPEL LAS VEGAS","900913984-5","ORGANIZACIÓN TERPEL SA","830095213-0 ","2093"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-15437-16904","Impuesto al Carbono","FAESGO SAS - EDS  TERPEL SAN ANTONIO","901623066-8","ORGANIZACIÓN TERPEL SA","830095213-0 ","1468"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-13036-15436","Impuesto al Carbono","VALECAR SAS - EDS  TERPEL LA 33 ","900792157-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","2401"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-12203-13035","Impuesto al Carbono","ATARA GASOIL SAS -  EDS LA GUABINAL","900726977-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","833"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-10060-12202","Impuesto al Carbono","JEMA GASOIL SAS - EDS  TERPEL LA 49  NORMANDIA","900979559-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","2143"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-08551-10059","Impuesto al Carbono","DISTRIBUIDORA DE  COMBUSTIBLES LOPEZ  Y GIRALDO SAS -  TERPEL- EDS EL VERGEL","900986377-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","1509"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-8007-8550","Impuesto al Carbono","SIDECA SOLUCIONES  INTEGRALES DEL  CARIBE SAS - EDS  BARRANQUILLITA","901256144-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","544"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-4315-8006","Impuesto al Carbono","DISTRIBUCIONES  AGUIRRE SIERRA S.A.S -  EDS TERPEL NORTE","900644867-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","3692"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-3151-4314","Impuesto al Carbono","INVERSIONES CICA SAS -  EDS TERPEL TINTAL","900809066-4","ORGANIZACIÓN TERPEL SA","830095213-0 ","1164"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-2070-3150","Impuesto al Carbono","CASDAR SAS - EDS  PRESIDENTE","901494145-7","ORGANIZACIÓN TERPEL SA","830095213-0 ","1081"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-1258-2069","Impuesto al Carbono","COMBUSTIBLES  FLORENCIA SAS - EDS  TERPEL FLORENCIA","901045508-1","ORGANIZACIÓN TERPEL SA","830095213-0 ","812"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2023","11/26/2020","7/4/2024","2023","COLCX-14-0014-2023-0001-1257","Impuesto al Carbono","INVERSIONES  NOGUMAS SAS - EDS  TERPEL EL RODEO","901031037-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","1257"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-292241-292542","Impuesto al Carbono","INVERSIONES  NOGUMAS SAS - EDS  TERPEL EL RODEO","901031037-3","ORGANIZACIÓN TERPEL SA","830095213-0 ","302"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-290609-292240","Impuesto al Carbono","SALAZAR SAENZ SAS -  EDS TERPEL GRANADA","900796282-0","ORGANIZACIÓN TERPEL SA","830095213-0 ","1632"
"15/07/2025","Proyecto Forestal CO2CERO Casanare","COLCX-14-0014-2022","11/26/2020","7/4/2024","2022","COLCX-14-0014-2022-290060-290608","Impuesto al Carbono","BENCINERA SAS - EDS  GASXI 76","901117366-2","ORGANIZACIÓN TERPEL SA","830095213-0 ","549"
