Fecha de retiro;Proyecto;Año;Cod. Vintage;Cod. COLCERs retirados;Propósito del retiro;Usuario final;Sujeto pasivo;COLCERs retirados
2025-07-28 16:39:03;CARBONO IG FARMS;2021;COLCX-14-0003-2021;COLCX-14-0003-2021-16941-17017;Compensación voluntaria;900.697.153-4 - THEVENING & COMPAÑIA S.A.S.;900.697.153-4 - THEVENING & COMPAÑIA S.A.S.;77
2025-07-28 16:16:29;Carbono Sombrilla Abejorral;2016;COLCX-14-0001-2016;COLCX-14-0001-2016-8576-8805;Compensación voluntaria;811.007.280-1 - SERACIS LTDA;811.007.280-1 - SERACIS LTDA;230
2025-07-23 15:57:28;Planeta Agradecido con el Resguardo Indígena CMARI;2021;COLCX-14-0040-2021;COLCX-14-0040-2021-676029-1014149;Impuesto al Carbono;860.002.554-8 - PRIMAX COLOMBIA SA;860.002.554-8 - PRIMAX COLOMBIA SA;338121
2025-07-16 14:10:45;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-696585-710835;Impuesto al Carbono;900.112.515-7 - REFINERIA DE CARTAGENA S.A.S;901.160.786-4 - DISTRIBUIDORA DE COMBUSTIBLES DISCOM SAS;14251
2025-07-09 7:39:49;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-696345-696584;Compensación voluntaria;900.488.509-6 - PETROLIQUIDOS S.A.S;900.488.509-6 - PETROLIQUIDOS S.A.S;240
2025-07-08 15:09:31;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-696221-696344;Impuesto al Carbono;900.394.217-6 - RH GROUP S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;124
2025-07-04 13:27:22;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-695949-696220;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;272
2025-07-04 13:26:51;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-695925-695948;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;24
2025-07-04 13:25:22;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-695905-695924;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;20
2025-07-02 15:13:59;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-695467-695904;Impuesto al Carbono;800.118.776-7 - TRANSPORTES ICEBERG DE COLOMBIA S A;860.005.223-9 - CHEVRON PETROLEUM COMPANY;438
2025-07-02 15:13:46;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-695428-695466;Impuesto al Carbono;800.118.776-7 - TRANSPORTES ICEBERG DE COLOMBIA S A;819.001.667-8 - PETROLEOS DEL MILENIO SAS;39
2025-07-02 15:13:30;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-694844-695427;Impuesto al Carbono;860.005.108-1 - EXPRESO BOLIVARIANO S A;830.095.213-0 - ORGANIZACIÓN TERPEL SA;584
2025-07-02 15:13:20;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-693956-694843;Impuesto al Carbono;860.005.108-1 - EXPRESO BOLIVARIANO S A;860.002.554-8 - PRIMAX COLOMBIA SA;888
2025-07-02 15:13:01;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-693923-693955;Impuesto al Carbono;800.227.937-3 - CONTINENTAL BUS SA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;33
2025-07-02 15:12:49;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-693735-693922;Impuesto al Carbono;800.227.937-3 - CONTINENTAL BUS SA;860.002.554-8 - PRIMAX COLOMBIA SA;188
2025-07-01 8:41:57;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-692853-693734;Impuesto al Carbono;890.400.442-8 - UNITRANSCO S.A.;819.001.667-8 - PETROLEOS DEL MILENIO SAS;882
2025-07-01 8:41:47;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-690573-692852;Impuesto al Carbono;800.209.893-1 - DISPETROCOM S.A.S;860.002.554-8 - PRIMAX COLOMBIA SA;2280
2025-07-01 8:41:37;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-689369-690572;Impuesto al Carbono;800.209.893-1 - DISPETROCOM S.A.S;860.002.554-8 - PRIMAX COLOMBIA SA;1204
2025-06-27 8:10:18;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-688928-689368;Impuesto al Carbono;860.014.493-9 -  COOPERATIVA  MULTIACTIVA DE  TRANSPORTADORES  OMEGA LTDA.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;441
2025-06-27 7:56:40;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-688877-688927;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;51
2025-06-27 7:56:28;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-688734-688876;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;143
2025-06-27 7:55:35;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-682975-688733;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;899.999.068-1 - ECOPETROL SA;5759
2025-06-27 7:55:17;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-682226-682974;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;749
2025-06-27 7:54:33;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-682178-682225;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;48
2025-06-27 7:54:10;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-681054-682177;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1124
2025-06-19 14:07:55;Planeta Agradecido con el Resguardo Indígena CMARI;2021;COLCX-14-0040-2021;COLCX-14-0040-2021-332532-676028;Impuesto al Carbono;860.002.554-8 - PRIMAX COLOMBIA SA;860.002.554-8 - PRIMAX COLOMBIA SA;343497
2025-06-12 11:41:48;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-680684-681053;Compensación voluntaria;846.000.560-2 - HG CONSTRUCCIONES E INGENIERIA S.A.S;846.000.560-2 - HG CONSTRUCCIONES E INGENIERIA S.A.S;370
2025-06-10 14:38:09;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-680664-680683;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;20
2025-06-10 14:37:56;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-680640-680663;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;24
2025-06-10 14:37:47;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-680368-680639;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;272
2025-06-10 10:44:45;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-676647-680367;Impuesto al Carbono;900.088.915-7 - Empresa Aérea de Servicios y Facilitación Logística Integral S.A.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;3721
2025-06-09 7:32:08;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-675443-676646;Impuesto al Carbono;800.209.893-1 - DISPETROCOM S.A.S;860.002.554-8 - PRIMAX COLOMBIA SA;1204
2025-06-09 7:31:55;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-673163-675442;Impuesto al Carbono;800.209.893-1 - DISPETROCOM S.A.S;860.002.554-8 - PRIMAX COLOMBIA SA;2280
2025-06-09 7:31:46;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-672935-673162;Impuesto al Carbono;860.052.980-6 - SURAMERICANA DE TRANSPORTES S.A.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;228
2025-06-09 7:31:03;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-672901-672934;Impuesto al Carbono;800.118.776-7 - TRANSPORTES ICEBERG DE COLOMBIA S A;819.001.667-8 - PETROLEOS DEL MILENIO SAS;34
2025-06-09 7:30:44;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-672430-672900;Impuesto al Carbono;800.118.776-7 - TRANSPORTES ICEBERG DE COLOMBIA S A;860.005.223-9 - CHEVRON PETROLEUM COMPANY;471
2025-05-29 8:37:59;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-671466-672429;Impuesto al Carbono;901.561.156-5 - INVERSIONES PARQUE OLAYA SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;964
2025-05-29 8:37:43;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-664938-671465;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;899.999.068-1 - ECOPETROL SA;6528
2025-05-29 8:37:17;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-664893-664937;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;45
2025-05-29 8:36:44;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-664751-664892;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;142
2025-05-29 8:36:29;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-664083-664750;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;668
2025-05-29 8:36:03;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-664040-664082;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;43
2025-05-29 8:35:45;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-662905-664039;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1135
2025-05-29 8:35:13;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-662202-662904;Impuesto al Carbono;214.827.635 -  LILIANA MONTOYA  CLAVIJO;830.095.213-0 - ORGANIZACIÓN TERPEL SA;703
2025-05-29 8:34:46;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-661761-662201;Impuesto al Carbono;860.014.493-9 -  COOPERATIVA  MULTIACTIVA DE  TRANSPORTADORES  OMEGA LTDA.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;441
2025-05-29 8:34:22;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-661533-661760;Impuesto al Carbono;900.013.269-5 - BUS BENZ SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;228
2025-05-29 8:33:59;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-661330-661532;Impuesto al Carbono;830.504.050-3 - TALLERES OCCIDENTAL SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;203
2025-05-29 8:33:26;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-661004-661329;Impuesto al Carbono;811.003.004-5 - INVERSIONES SIDERENSE SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;326
2025-05-29 8:33:01;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-660446-661003;Impuesto al Carbono;900.814.383-4 - INVERSIONES DITAIRES SAS;830.095.213-0 - ORGANIZACIÓN TERPEL SA;558
2025-05-22 11:56:50;Planeta Agradecido con el Resguardo Indígena CMARI;2021;COLCX-14-0040-2021;COLCX-14-0040-2021-3642-332531;Impuesto al Carbono;860.002.554-8 - PRIMAX COLOMBIA SA;860.002.554-8 - PRIMAX COLOMBIA SA;328890
2025-05-16 13:40:14;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-660345-660445;Compensación voluntaria;860.078.828-7 - COMPANÍA DE MEDICINA PREPAGADA COLSANITAS S.A;860.078.828-7 - COMPANÍA DE MEDICINA PREPAGADA COLSANITAS S.A;101
2025-05-16 13:39:20;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-659845-660344;Compensación voluntaria;901.041.691-3 - CENTROS MEDICOS COLSANITAS SAS;901.041.691-3 - CENTROS MEDICOS COLSANITAS SAS;500
2025-05-16 13:38:47;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-657045-659844;Compensación voluntaria;890.906.119-6 - NUVANT SAS;890.906.119-6 - NUVANT SAS;2800
2025-05-09 11:21:46;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-656994-657044;Compensación voluntaria;800.019.249-2 - G4S RISK MANAGEMENT COLOMBIA S A.;800.019.249-2 - G4S RISK MANAGEMENT COLOMBIA S A.;51
2025-05-09 11:18:35;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-656823-656993;Compensación voluntaria;860.013.951-6 - G4S SECURE SOLUTIONS COLOMBIA S A;860.013.951-6 - G4S SECURE SOLUTIONS COLOMBIA S A;171
2025-05-09 11:15:25;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-656789-656822;Compensación voluntaria;901.004.278-7 - G4S INFOTEC S.A.S.;901.004.278-7 - G4S INFOTEC S.A.S.;34
2025-05-09 11:11:28;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-656704-656788;Compensación voluntaria;800.215.227-0 - G4S TECHNOLOGY COLOMBIA S.A.S.;800.215.227-0 - G4S TECHNOLOGY COLOMBIA S.A.S.;85
2025-05-09 10:54:40;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-654424-656703;Impuesto al Carbono;800.209.893-1 - DISPETROCOM S.A.S;860.002.554-8 - PRIMAX COLOMBIA SA;2280
2025-05-09 10:51:33;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-653220-654423;Impuesto al Carbono;800.209.893-1 - DISPETROCOM S.A.S;860.002.554-8 - PRIMAX COLOMBIA SA;1204
2025-05-09 10:46:11;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-653177-653219;Impuesto al Carbono;800.118.776-7 - TRANSPORTES ICEBERG DE COLOMBIA S A;819.001.667-8 - PETROLEOS DEL MILENIO SAS;43
2025-05-09 10:41:17;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-652734-653176;Impuesto al Carbono;800.118.776-7 - TRANSPORTES ICEBERG DE COLOMBIA S A;860.005.223-9 - CHEVRON PETROLEUM COMPANY;443
2025-05-06 0:00:00;Orinoquia Asociativo;2022;COLCX-14-0026-2022;COLCX-14-0026-2022-8746-9775;Impuesto al Carbono;860.350.697-4 - CONCRETOS ARGOS S.A.S.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1030
2025-05-06 0:00:00;Orinoquia Asociativo;2022;COLCX-14-0026-2022;COLCX-14-0026-2022-09776-10384;Impuesto al Carbono;890.100.251-0 - CEMENTOS ARGOS S.A;830.095.213-0 - ORGANIZACIÓN TERPEL SA;609
2025-05-05 0:00:00;Proyecto Forestal CO2Cero Caribe;2018;COLCX-14-0006-2018;COLCX-14-0006-2018-26888-26902;Compensación voluntaria;900.412.013-9 - ATP INTEGRIDAD Y CORROSION S.A.S.;900.412.013-9 - ATP INTEGRIDAD Y CORROSION S.A.S.;15
2025-05-05 0:00:00;Proyecto Forestal CO2Cero Caribe;2018;COLCX-14-0006-2018;COLCX-14-0006-2018-26903-26917;Compensación voluntaria;900.412.013-9 - ATP INTEGRIDAD Y CORROSION S.A.S.;900.412.013-9 - ATP INTEGRIDAD Y CORROSION S.A.S.;15
2025-04-30 10:14:32;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-647460-652733;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;899.999.068-1 - ECOPETROL SA;5274
2025-04-30 10:14:22;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-647403-647459;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;57
2025-04-30 8:56:28;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-647279-647402;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;124
2025-04-30 8:26:38;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-646609-647278;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;670
2025-04-30 8:25:44;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-646577-646608;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;32
2025-04-30 8:25:10;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-645438-646576;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;1139
2025-04-29 16:29:27;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-645418-645437;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;20
2025-04-29 16:28:59;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-645394-645417;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;24
2025-04-29 16:15:22;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-645122-645393;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;272
2025-04-11 14:49:36;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-631871-645121;Impuesto al Carbono;900.112.515-7 - REFINERIA DE CARTAGENA S.A.S;901.160.786-4 - DISTRIBUIDORA DE COMBUSTIBLES DISCOM SAS;13251
2025-04-10 16:53:56;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-627022-631870;Impuesto al Carbono;900.088.915-7 - Empresa Aérea de Servicios y Facilitación Logística Integral S.A.;830.095.213-0 - ORGANIZACIÓN TERPEL SA;4849
2025-04-08 12:09:17;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-627011-627021;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;11
2025-04-08 12:09:05;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-626987-627010;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;24
2025-04-08 12:05:20;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-626715-626986;Compensación voluntaria;811.020.344-6 - HELISTAR SAS;811.020.344-6 - HELISTAR SAS;272
2025-04-08 9:49:10;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-620747-626714;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;899.999.068-1 - ECOPETROL SA;5968
2025-04-08 9:45:44;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-619737-620746;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;899.999.068-1 - ECOPETROL SA;1010
2025-04-08 9:45:34;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-619669-619736;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;68
2025-04-08 9:45:24;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-619547-619668;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;122
2025-04-08 9:45:16;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-618918-619546;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;629
2025-04-08 9:31:15;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-618893-618917;Impuesto al Carbono;901.526.059-0 - JETSMAR AIRLINES S.A.S.;860.005.223-9 - CHEVRON PETROLEUM COMPANY;25
2025-04-08 9:26:15;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-618677-618892;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;811.043.174-1 - ZEUSS SAS;216
2025-04-08 9:26:06;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-617710-618676;Impuesto al Carbono;890.100.531-8 - EXPRESO BRASILIA S.A.;819.001.667-8 - PETROLEOS DEL MILENIO SAS;967
2025-04-08 9:25:55;Planeta Agradecido con el Resguardo Indígena CMARI;2020;COLCX-14-0040-2020;COLCX-14-0040-2020-617158-617709;Impuesto al Carbono;890.908.096-4 - INVERSIONES FLORENCIA SA;830.095.213-0 - ORGANIZACIÓN TERPEL SA;552
